map,estimate,variance,Dose,Region,r2
Battistella_peaks,0.569165,0.067395,42,Cingulate,1
Bossong_emotion,-0.158207,0.094302,6,Cingulate,1
Bossong_sternberg,-0.174698,0.074832,6,Cingulate,1
Bossong_PvsTHC_ASL,-0.360227,0.120793,6,Cingulate,1
Freeman_peaks,0.110177,0.127631,8,Cingulate,1
Jansma,-0.147284,0.119552,6,Cingulate,1
VanHell,-0.281561,0.122804,6,Cingulate,1
Walter2017,0.43015,0.091529,20,Cingulate,1
Bhattacharyya2009,-0.074667,0.133732,10,Cingulate,1
Bhattacharyya2012,0.031847,0.13344,10,Cingulate,1
Bhattacharyya2015,0,0.055557,10,Cingulate,1
Bhattacharyya2017,0,0.142856,10,Cingulate,1
WintonBrown2011,0,0.142856,10,Cingulate,1
OLeary2000,0.787597,0.469047,20,Cingulate,1
OLeary2002,0.579806,0.18154,20,Cingulate,1
OLeary2003,1.006662,0.195076,20,Cingulate,1
OLeary2007,0.995822,0.193951,20,Cingulate,1
Rabinak2012,0,0.142856,7.5,Cingulate,1
Lee,-0.008139,0.166726,15,Cingulate,1
Walter2019T2,-0.087793,0.09111,20,Cingulate,1
Walter2019T3,0.759198,0.168046,20,Cingulate,1
Bossong_PvsTHC_AM,-0.001416,0.100053,6,Cingulate,1
Bossong_PvsTHC_CPT,-0.202784,0.101571,6,Cingulate,1
Battistella_peaks,-0.716967,0.069051,42,Thal_L,2
Bossong_emotion,-0.166693,0.094147,6,Thal_L,2
Bossong_sternberg,-0.206556,0.074548,6,Thal_L,2
Bossong_PvsTHC_ASL,0.158622,0.119039,6,Thal_L,2
Freeman_peaks,-0.004849,0.125009,8,Thal_L,2
Jansma,0.318745,0.121321,6,Thal_L,2
VanHell,0.034677,0.118894,6,Thal_L,2
Walter2017,0.765815,0.098887,20,Thal_L,2
Bhattacharyya2009,-0.001659,0.133337,10,Thal_L,2
Bhattacharyya2012,0,0.133333,10,Thal_L,2
Bhattacharyya2015,0,0.055555,10,Thal_L,2
Bhattacharyya2017,0,0.142857,10,Thal_L,2
WintonBrown2011,0,0.142857,10,Thal_L,2
OLeary2000,0,0.4,20,Thal_L,2
OLeary2002,0,0.166667,20,Thal_L,2
OLeary2003,-1.158885,0.20397,20,Thal_L,2
OLeary2007,-0.323484,0.172424,20,Thal_L,2
Rabinak2012,0,0.142857,7.5,Thal_L,2
Lee,0,0.166667,15,Thal_L,2
Walter2019T2,-0.214276,0.091996,20,Thal_L,2
Walter2019T3,0,0.153846,20,Thal_L,2
Bossong_PvsTHC_AM,0.199596,0.101187,6,Thal_L,2
Bossong_PvsTHC_CPT,-0.019435,0.100308,6,Thal_L,2
Battistella_peaks,-0.615096,0.067812,42,SMA,3
Bossong_emotion,0.254531,0.094969,6,SMA,3
Bossong_sternberg,-0.336985,0.07573,6,SMA,3
Bossong_PvsTHC_ASL,-0.121664,0.118369,6,SMA,3
Freeman_peaks,-0.026015,0.125063,8,SMA,3
Jansma,0.327582,0.121732,6,SMA,3
VanHell,0.010851,0.118746,6,SMA,3
Walter2017,0.016909,0.086716,20,SMA,3
Bhattacharyya2009,0,0.133333,10,SMA,3
Bhattacharyya2012,0,0.133333,10,SMA,3
Bhattacharyya2015,0,0.055556,10,SMA,3
Bhattacharyya2017,0,0.142857,10,SMA,3
WintonBrown2011,0,0.142857,10,SMA,3
OLeary2000,0,0.4,20,SMA,3
OLeary2002,0,0.166667,20,SMA,3
OLeary2003,0,0.166667,20,SMA,3
OLeary2007,0,0.166667,20,SMA,3
Rabinak2012,-0.027343,0.142948,7.5,SMA,3
Lee,0,0.166667,15,SMA,3
Walter2019T2,0,0.090909,20,SMA,3
Walter2019T3,0,0.153846,20,SMA,3
Bossong_PvsTHC_AM,0.389401,0.104331,6,SMA,3
Bossong_PvsTHC_CPT,0.342853,0.10216,6,SMA,3
Battistella_peaks,-0.670779,0.068485,42,Thal_R,4
Bossong_emotion,0.097674,0.093493,6,Thal_R,4
Bossong_sternberg,0.21406,0.075636,6,Thal_R,4
Bossong_PvsTHC_ASL,0.21904,0.11904,6,Thal_R,4
Freeman_peaks,0,0.125,8,Thal_R,4
Jansma,0.216563,0.119595,6,Thal_R,4
VanHell,-0.32096,0.121069,6,Thal_R,4
Walter2017,0.388853,0.091006,20,Thal_R,4
Bhattacharyya2009,0,0.133333,10,Thal_R,4
Bhattacharyya2012,0,0.133333,10,Thal_R,4
Bhattacharyya2015,0,0.055556,10,Thal_R,4
Bhattacharyya2017,0,0.142857,10,Thal_R,4
WintonBrown2011,0,0.142857,10,Thal_R,4
OLeary2000,0,0.4,20,Thal_R,4
OLeary2002,0,0.166667,20,Thal_R,4
OLeary2003,-0.01603,0.16675,20,Thal_R,4
OLeary2007,-0.042111,0.166803,20,Thal_R,4
Rabinak2012,0,0.142857,7.5,Thal_R,4
Lee,0,0.166667,15,Thal_R,4
Walter2019T2,-0.007839,0.090917,20,Thal_R,4
Walter2019T3,0,0.153846,20,Thal_R,4
Bossong_PvsTHC_AM,0.129676,0.100511,6,Thal_R,4
Bossong_PvsTHC_CPT,0.20063,0.100652,6,Thal_R,4
